tile,ch,gain_dB
B07,0,0.0
F07,1,0.0
C09,1,0.0
D07,0,2.9614471579237147
G10,0,0.0
A09,1,0.0
E10,0,0.0
G06,0,71.89085692788666
A06,0,0.0
C05,1,0.0
F05,1,0.0
E08,0,0.0
B10,1,0.0
D10,0,0.0
E05,0,0.0
G08,1,74.22950587138423
F10,0,0.0
C07,0,0.0
A05,0,0.0
D05,0,0.0
A07,0,0.0
B09,1,0.0
F08,1,0.0
B06,0,0.0
E06,0,61.91629936764111
G09,0,0.0
D08,0,66.24257335246791
G07,0,0.0
G05,0,0.0
F06,1,0.0
C08,1,62.471204872223744
B05,0,0.0
C10,1,0.0
E07,0,0.0
A10,1,0.0
D06,0,0.0
D09,0,0.0
C06,1,0.0
B08,0,0.0
A08,0,0.0
E09,1,0.0
F09,1,0.0
F06,0,0.0
A07,1,0.0
B09,0,0.0
A08,1,74.05125083491774
A06,1,72.19146053099163
F10,1,0.0
G08,0,0.0
B10,0,0.0
A09,0,0.0
A10,0,0.0
D06,1,0.0
G09,1,0.0
F07,0,0.0
F09,0,0.0
E09,0,0.0
B07,1,0.0
F08,0,0.0
C07,1,0.0
D07,1,72.24739661551345
B08,1,0.0
